8267190,Epidural clonidine treatment for refractory reflex sympathetic dystrophy.,"Rauck RL, Eisenach JC, Jackson K, Young LD, Southern J",Anesthesiology. 1993 Dec;79(6):1163-9; discussion 27A.,"BACKGROUND: Intraspinally administered alpha 2-adrenergic agonists may relieve pain in sympathetically maintained pain (SMP) syndromes, such as reflex sympathetically dystrophy (RSD), by spinal, peripheral, and central nervous system actions. This study examined analgesic efficacy and side effects of epidurally administered clonidine in patients with severe, refractory RSD. METHODS: Twenty-six patients with severe chronic pain consistent with RSD were studied in a randomized, blinded, placebo-controlled design. Cervical or lumbar epidural catheters were inserted for patients with upper or lower extremity RSD, respectively, and patients received, in random order on three consecutive days, epidural injection of clonidine, 300 or 700 micrograms, or placebo. Pain (by visual analog score (VAS) and McGill Pain Questionnaire), sedation, blood pressure, and heart rate were monitored at specified intervals for 6 h after injection. Patients who responded to clonidine, but not placebo, then entered a trial of open-label, continuous epidural infusion of clonidine (10-50 micrograms/h). RESULTS: Clonidine, but not placebo, caused pain relief, sedation, and decreased blood pressure and heart rate after bolus epidural injection. The smaller clonidine dose (300 micrograms), produced pain relief and decreases in blood pressure and heart rate similar to those of the 700 micrograms dose, but with less sedation. Epidural clonidine was infused for a mean of 43 days in 19 patients at a mean rate of 32 micrograms/h for sustained analgesia. CONCLUSIONS: Transdermal clonidine has been demonstrated to produce analgesia in the area surrounding its application site in patients with SMP. The current study indicates that extensive analgesia may be obtained by epidural administration. Sedation and hypotension may limit bolus epidural clonidine administration for RSD. The role for chronic epidural infusion of clonidine has not yet been established.","Adult, Analgesics/*administration & dosage/adverse effects/therapeutic use, Blood Pressure/drug effects, Chronic Disease, Clonidine/*administration & dosage/adverse effects/therapeutic use, Heart Rate/drug effects, Humans, Injections, Epidural, Pain/drug therapy, Reflex Sympathetic Dystrophy/*drug therapy",-1
8698994,Fever in neurologic diseases.,"Powers JH, Scheld WM",Infect Dis Clin North Am. 1996 Mar;10(1):45-66.,"In the sense that the brain houses the central mechanism for the regulation of body temperature, almost all illnesses that cause fever must interact with the central nervous system. There are far fewer diseases, however, in which the nervous system symptomatology is of prime diagnostic importance. A helpful way to view fever in association with neurologic disease is to roughly divide these disease entities into four broad categories: (1) neurologic impairment resulting from fever itself, (2) fever as the sole manifestation of a central nervous system infection, (3) systemic febrile disorders with central nervous system signs and symptoms, and (4) primary neurologic diseases, either central or peripheral in origin, with fever as a presenting sign. This article discusses the clinical presentation of disorders in each of these categories as an aid to the clinician in diagnosing and differentiating between these syndromes.","Brain Abscess/complications, Brain Diseases/*complications/etiology, Fever/complications/*etiology, Heat Stroke/complications, Humans, Malignant Hyperthermia/complications, Meningitis/complications, Sarcoidosis/complications, Sepsis/complications, Serum Sickness/complications",-1
11745906,In vitro protein binding studies with BMS-204352: lack of protein binding displacement interaction in human serum.,"Krishna R, Yao M, Kaczor D, Vachharajani N, Srinivas NR",Biopharm Drug Dispos. 2001 Jan;22(1):41-4.,"BMS-204352, a maxi-K channel opener, is currently under development for the treatment of stroke. Protein binding of BMS-204352 was determined in sera from several species, namely, rat, monkey, dog, and human. Data indicated that the compound was shown to be highly protein bound in serum from all species (ca. 99.6%). In order to test for the potential for drug-drug interactions and competitive displacement of BMS-204352 by diazepam, phenytoin, propranolol, and warfarin, in vitro experiments were performed using spiked human serum and ex vivo human plasma samples. Protein binding was determined using equilibrium dialysis for 4 h at maximal therapeutic concentrations for each drug alone or in appropriate combination in spiked serum samples. Ex vivo samples from a clinical BMS-204352 study (0, 1, and 24 h) were dialyzed separately after addition of diazepam, phenytoin, propranolol, or warfarin. Drug content in biological matrices was measured for radioactivity using liquid scintillation counting. Results indicated that (1) addition of diazepam, phenytoin, propranolol, or warfarin did not alter the free fraction of BMS-204352; (2) BMS-204352 did not displace diazepam, phenytoin, propranolol, or warfarin from their protein binding sites, and (3) comparison of ex vivo plasma samples after BMS-204352 dosing indicated no impact of BMS-204352 and/or its metabolites on the free fraction of diazepam, phenytoin, propranolol, or warfarin. In conclusion, the potential for a drug-drug interaction due to alterations in protein binding with BMS-204352 is unlikely.","Animals, Blood Proteins/*metabolism, Dogs, Drug Interactions, Humans, Indoles/*blood/pharmacokinetics, Macaca fascicularis, Neuroprotective Agents/*blood/pharmacokinetics, Protein Binding, Rats",-1
9884682,Pharmacologic treatment for children and adolescents with anxiety disorders.,"Birmaher B, Yelovich AK, Renaud J",Pediatr Clin North Am. 1998 Oct;45(5):1187-204.,"Pediatric anxiety disorders are common illnesses that, if left untreated, may induce academic, family, and interpersonal problems. Cognitive-behavioral techniques and other psychotherapeutic interventions may be adequate for the treatment of most anxiety disorders. For patients with severe symptoms or for whom psychotherapeutic approaches are not adequate, medications are indicated. Among the available medications, the SSRIs are currently the first choice; however, other medications, such as the benzodiazepines and the TCAs, may be used alone or sometimes in combination with the SSRIs. Caution with respect to medication interactions and side effects is indicated. In particular, long-term side effects in these medications have not been well studied.","Adolescent, Anti-Anxiety Agents/pharmacology/*therapeutic use, Antidepressive Agents, Tricyclic/pharmacology/*therapeutic use, Anxiety Disorders/classification/diagnosis/*drug therapy, Benzodiazepines, Child, Drug Interactions, Drug Monitoring, Humans, Patient Selection, Serotonin Uptake Inhibitors/pharmacology/*therapeutic use",-1
12465092,"Forty-one year follow-up of childhood-onset opsoclonus-myoclonus-ataxia: cerebellar atrophy, multiphasic relapses, and response to IVIG.","Pranzatelli MR, Tate ED, Kinsbourne M, Caviness VS Jr, Mishra B",Mov Disord. 2002 Nov;17(6):1387-90.,"We report on an adult with opsoclonus-myoclonus-ataxia syndrome experiencing widely spaced neurological relapses, who was followed for 41 years. His responses to treatment are described.","Adolescent, Adrenocorticotropic Hormone/therapeutic use, Adult, Atrophy, Cerebellar Ataxia/diagnosis/*drug therapy, Cerebellum/*pathology, Child, Child, Preschool, Follow-Up Studies, Humans, *Immunization, Passive, Infant, Magnetic Resonance Imaging, Male, Neurologic Examination, Neuropsychological Tests, Paraneoplastic Syndromes, Nervous System/diagnosis/*drug therapy, Recurrence, Treatment Outcome",-1
11587432,Predictors of loud snoring in persons with spinal cord injury.,"Ayas NT, Epstein LJ, Lieberman SL, Tun CG, Larkin EK, Brown R, Garshick E",J Spinal Cord Med. 2001 Spring;24(1):30-4.,"BACKGROUND: Predictors of loud snoring were examined in a cohort of 197 persons with chronic spinal cord injury (SCI) recruited by advertisement and from a Veterans Affairs Medical Center SCI Service. METHODS: Data were collected on age, marital status, antispasticity medications, duration of injury, level and completeness of injury, stature, and weight. Body mass index (BMI) was calculated for all participants. A health questionnaire was used to collect data on snoring and respiratory history. Habitual snorers were defined as those who reported loud snoring more than 1 night per week. RESULTS: The mean age (+/- SD) was 51.2 +/- 14.8 years, and 84 of 197 (42.6%) were habitual snorers. The most obese research subjects, regardless of antispasticity medication use, were more likely to report snoring, but the risk of snoring was greatest among subjects who were obese and used antispasticity medication. Subjects who used antispasticity medication and had a BMI above the median (> or = 25.3 kg/m2) had a 7-fold risk of reporting snoring compared with subjects below the median who did not use antispasticity medication (P = .001). The greatest risk occurred in those who used diazepam alone or baclofen and diazepam together and had a BMI at or above the median. Subjects who used these medications and had a BMI below the median did not have a significantly increased risk. Neurological motor completeness, level of injury, age, and years since injury were not significant predictors of snoring. CONCLUSION: Because snoring is a marker for obstructive sleep apnea (OSA), the data suggest that in obese individuals with SCI, the use of antispasticity medications may be a risk factor for OSA.","Adult, Aged, Aged, 80 and over, Body Mass Index, Humans, Logistic Models, Middle Aged, Muscle Hypotonia/complications/physiopathology, Muscle, Skeletal/drug effects, Neuromuscular Agents/therapeutic use, Obesity/complications/physiopathology, Sleep Apnea Syndromes/*complications/*physiopathology, Snoring/*complications/*physiopathology, Spinal Cord Injuries/*complications/*physiopathology",-1
11070373,Diazepam treatment to increase the cerebral GABAergic activity in acute stroke: a feasibility study in 104 patients.,"Lodder J, Luijckx G, van Raak L, Kessels F",Cerebrovasc Dis. 2000 Nov-Dec;10(6):437-40.,"In preparation of a trial on the neuroprotective effect of GABAergic activation by a benzodiazepine, we performed a feasibility study in 104 patients with acute (less than 24 h) stroke. 5 mg diazepam twice daily for 5 days (n = 44) was well tolerated, feasible, and appeared to be safe. Testing a dose of 10 mg twice daily for 5 days (n = 17) was stopped early because of drowsiness around day 5, interfering with regular patient care. A dose of 10 mg twice daily for 3 days was well tolerated, despite reported drowsiness in 12 of 43 patients. First-dose application by rectiole was feasible in 97% of the 104 patients. No blood pressure drop or respiratory arrest or insufficiency were detected, whereas the 2-week case fatality rate was similar to that of controls matched for age, sex, and stroke severity. We conclude that testing the GABAergic activity during the acute phase of stroke by 10 mg diazepam twice daily for 3 days is well tolerated and practically feasible, and it does not subject patients to an increased risk of potential serious adverse effects. Preparations for a large randomized trial are in a final stage.","Acute Disease, Adult, Aged, Aged, 80 and over, Brain/drug effects/metabolism, Diazepam/*administration & dosage, Emergency Medical Services, Feasibility Studies, Female, GABA Modulators/*administration & dosage, Humans, Male, Middle Aged, Stroke/*drug therapy/*metabolism, Treatment Outcome, gamma-Aminobutyric Acid/*metabolism",-1
11603417,"Quinine and cramp: uncertainty efficacy, major risks.",MISSING,Prescrire Int. 2000 Oct;9(49):154-7.,"(1) Simple muscle cramp is a mild condition. It is defined as painful involuntary muscle contraction that occurs at rest and resolves spontaneously. (2) Passive stretching of the affected muscle relieves cramp. (3) The clinical file on quinine in simple cramp is inadequate, being based on small trials with conflicting results. (4) Two meta-analysis of comparative cross-over trials suggest that the benefit of quinine is negligible in this setting (less than one cramp avoided per week of treatment). (5) Severe and even fatal adverse effects have been reported, especially haematological complications such as thrombocytopenia, haemolytic anaemia, pancytopenia, and disseminated intravascular coagulation. (6) Dose-dependent sensory manifestations of cinchonism are far from rare (especially tinnitus). (7) The risk-benefit ratio of quinine in cramp is too unfavourable to justify its use.","Australia, Clinical Trials as Topic, Drug and Narcotic Control, France, Humans, Muscle Cramp/*drug therapy, Product Surveillance, Postmarketing, Quinine/*adverse effects/therapeutic use, Risk, United States",-1
9339715,Stereotactic selective Vo-complex thalamotomy in a patient with dystonic writer's cramp.,"Goto S, Tsuiki H, Soyama N, Okamura A, Yamada K, Yoshikawa M, Hashimoto Y, Ushio Y",Neurology. 1997 Oct;49(4):1173-4.,MISSING,"Adolescent, Clonazepam/administration & dosage/therapeutic use, Dose-Response Relationship, Drug, Dystonia/drug therapy/*physiopathology/*surgery, Electromyography, Female, *Handwriting, Humans, *Stereotaxic Techniques, Thalamic Nuclei/*surgery",-1
11914542,Facio-oculo-palatal myoclonus due to pontine cavernous angioma.,"Kumral E, Ozdemirkiran T, Bayulkem G",Cerebrovasc Dis. 2002;13(3):217-8.,MISSING,"Aged, Brain Stem Neoplasms/*complications, Female, Hemangioma, Cavernous/*complications, Humans, Magnetic Resonance Imaging, Myoclonus/*etiology",-1
